"Type","Model","True_Mig","True_Sel","Mean_Inferred_D","MAE_D","Mean_Inferred_s","MAE_s"
"Neutro","TRON_LEGACY",0.05,0.1,0.05,0,0,0.1
"Neutro","TRON_LEGACY",0.1,1e-04,0.095,0.005,0,1e-04
"Neutro","TRON_LEGACY",0.1,5e-04,0.095,0.005,0,5e-04
"Neutro","TRON_LEGACY",0.1,0.001,0.1,0,0,0.001
"Neutro","TRON_LEGACY",0.1,0.005,0.09,0.01,0,0.005
"Neutro","TRON_LEGACY",0.1,0.01,0.095,0.005,0,0.01
"Neutro","TRON_LEGACY",0.1,0.05,0.1,0,0,0.05
"Neutro","TRON_LEGACY",0.1,0.1,0.1,0,0,0.1
"Seleccion","TRON_ARES",0,1e-04,0.0185,0.0185,-0.5,1.0001
"Seleccion","TRON_ARES",0,5e-04,0.0185,0.0185,-0.5,1.0005
"Seleccion","TRON_ARES",0,0.001,0.0275,0.0275,-0.5,1.001
"Seleccion","TRON_ARES",0,0.005,0.0145,0.0145,-0.296,0.609
"Seleccion","TRON_ARES",0,0.01,0.0145,0.0145,-0.294,0.614
"Seleccion","TRON_ARES",0,0.05,0.001,0.001,-0.02,0.12
"Seleccion","TRON_ARES",0,0.1,0,0,0.05,0
"Seleccion","TRON_ARES",0.01,1e-04,0.037,0.027,-0.13,0.33996
"Seleccion","TRON_ARES",0.01,5e-04,0.037,0.027,-0.187,0.4259
"Seleccion","TRON_ARES",0.01,0.001,0.037,0.027,-0.134,0.3316
"Seleccion","TRON_ARES",0.01,0.005,0.028,0.018,-0.082,0.233
"Seleccion","TRON_ARES",0.01,0.01,0.028,0.018,-0.083,0.228
"Seleccion","TRON_ARES",0.01,0.05,0.046,0.036,0.025,0
"Seleccion","TRON_ARES",0.01,0.1,0.0085,0.0015,0.05,0
"Seleccion","TRON_ARES",0.05,1e-04,0.061,0.019,-0.1285,0.34296
"Seleccion","TRON_ARES",0.05,5e-04,0.075,0.025,-0.186,0.4279
"Seleccion","TRON_ARES",0.05,0.001,0.08,0.03,-0.028,0.1432
"Seleccion","TRON_ARES",0.05,0.005,0.075,0.025,-0.029,0.138
"Seleccion","TRON_ARES",0.05,0.01,0.07,0.02,-0.0825,0.229
"Seleccion","TRON_ARES",0.05,0.05,0.095,0.045,0.03,0.01
"Seleccion","TRON_ARES",0.05,0.1,0.09,0.04,0.05,0
"Seleccion","TRON_ARES",0.1,1e-04,0.1,0,-0.185,0.42998
"Seleccion","TRON_ARES",0.1,5e-04,0.095,0.005,-0.0705,0.2587
"Seleccion","TRON_ARES",0.1,0.001,0.1,0,-0.0775,0.2444
"Seleccion","TRON_ARES",0.1,0.005,0.1,0,-0.078,0.241
"Seleccion","TRON_ARES",0.1,0.01,0.1,0,-0.029,0.134
"Seleccion","TRON_ARES",0.1,0.05,0.1,0,0.025,0
"Seleccion","TRON_ARES",0.1,0.1,0.1,0,0.05,0
"Seleccion","TRON_LEGACY",0,1e-04,0,0,0.017,0.0339
"Seleccion","TRON_LEGACY",0,5e-04,0,0,0.0024,0.0334
"Seleccion","TRON_LEGACY",0,0.001,5e-04,5e-04,-0.0425,0.1346
"Seleccion","TRON_LEGACY",0,0.005,5e-04,5e-04,-0.043,0.12
"Seleccion","TRON_LEGACY",0,0.01,0,0,0.0155,0.021
"Seleccion","TRON_LEGACY",0,0.05,0,0,0.04,0.03
"Seleccion","TRON_LEGACY",0,0.1,0,0,0.05,0
"Seleccion","TRON_LEGACY",0.01,1e-04,0.0185,0.0095,-0.084,0.23194
"Seleccion","TRON_LEGACY",0.01,5e-04,0.0085,0.0015,-0.0895,0.2207
"Seleccion","TRON_LEGACY",0.01,0.001,0.0085,0.0015,0.016,0.031
"Seleccion","TRON_LEGACY",0.01,0.005,0.0085,0.0015,0.0145,0.024
"Seleccion","TRON_LEGACY",0.01,0.01,0.0135,0.0045,-0.0875,0.219
"Seleccion","TRON_LEGACY",0.01,0.05,0.0131,0.0049,0.0275,0.005
"Seleccion","TRON_LEGACY",0.01,0.1,0.009,0.001,0.05,0
"Seleccion","TRON_LEGACY",0.05,1e-04,0.057,0.023,-0.139,0.32196
"Seleccion","TRON_LEGACY",0.05,5e-04,0.075,0.025,-0.1915,0.4169
"Seleccion","TRON_LEGACY",0.05,0.001,0.075,0.025,-0.138,0.3236
"Seleccion","TRON_LEGACY",0.05,0.005,0.075,0.025,-0.0895,0.218
"Seleccion","TRON_LEGACY",0.05,0.01,0.066,0.024,-0.089,0.216
"Seleccion","TRON_LEGACY",0.05,0.05,0.066,0.024,0.0275,0.005
"Seleccion","TRON_LEGACY",0.05,0.1,0.057,0.023,0.0475,0.005
"Seleccion","TRON_LEGACY",0.1,1e-04,0.1,0,-0.2395,0.521
"Seleccion","TRON_LEGACY",0.1,5e-04,0.085,0.015,-0.086,0.2277
"Seleccion","TRON_LEGACY",0.1,0.001,0.09,0.01,-0.087,0.2254
"Seleccion","TRON_LEGACY",0.1,0.005,0.09,0.01,-0.137,0.324
"Seleccion","TRON_LEGACY",0.1,0.01,0.1,0,-0.035,0.122
"Seleccion","TRON_LEGACY",0.1,0.05,0.1,0,0.025,0
"Seleccion","TRON_LEGACY",0.1,0.1,0.067,0.033,0.0475,0.005
